cp,maxdepth,minbucket,classif.auc,runtime_learners,timestamp,warnings,errors,batch_nr
0.0736467474245001,3,12,0.668698944140477,0.0299999999997453,2025-10-17T06:06:25.165866Z,0,0,1
0.00839792825654149,9,3,0.764711044525328,0.0199999999999818,2025-10-17T06:06:25.296670Z,0,0,2
0.0314937328665983,4,4,0.668698944140477,0.0199999999999818,2025-10-17T06:06:25.429738Z,0,0,3
0.0704052853032481,6,10,0.668698944140477,0.0299999999997453,2025-10-17T06:06:25.561338Z,0,0,4
0.0445974663053639,3,3,0.668698944140477,0.0100000000002183,2025-10-17T06:06:25.700058Z,0,0,5
0.036912598551251,5,3,0.668698944140477,0.0299999999997453,2025-10-17T06:06:25.879983Z,0,0,6
0.0652044349065982,10,7,0.668698944140477,0.0199999999999818,2025-10-17T06:06:26.018309Z,0,0,7
0.0074302377239801,2,12,0.671318546760079,0.0299999999997453,2025-10-17T06:06:26.145698Z,0,0,8
0.0971867513137404,5,9,0.661123186564719,0.0199999999999818,2025-10-17T06:06:26.272944Z,0,0,9
0.0432919681896456,3,8,0.668698944140477,0.0299999999997453,2025-10-17T06:06:26.408359Z,0,0,10
